timestamp,estimated_x,estimated_y,estimated_z,groundtruth_x,groundtruth_y,groundtruth_z,error_x,error_y,error_z,position_error,orientation_error_deg
1403636580.863556,-0.018715,0.026842,-0.068768,-0.000740,0.000879,0.020202,-0.017975,0.025963,-0.088970,0.094408,177.9500
1403636580.913556,-0.020303,0.029709,-0.081109,-0.002111,0.002203,0.060439,-0.018192,0.027506,-0.141548,0.145339,179.3187
1403636580.963556,-0.021814,0.032607,-0.091741,-0.003607,0.002509,0.100010,-0.018207,0.030098,-0.191751,0.194951,179.9901
1403636581.013556,-0.023124,0.035675,-0.100176,-0.004673,0.002436,0.137359,-0.018451,0.033239,-0.237535,0.240558,178.9879
1403636581.063556,-0.023998,0.039148,-0.106948,-0.005610,0.002180,0.172311,-0.018388,0.036968,-0.279259,0.282295,177.9522
1403636581.113555,-0.024233,0.042912,-0.111874,-0.006912,0.003144,0.205152,-0.017321,0.039768,-0.317026,0.319979,177.3801
1403636581.163556,-0.024154,0.046986,-0.115065,-0.007484,0.003814,0.235082,-0.016670,0.043172,-0.350147,0.353192,177.5065
1403636581.213556,-0.023754,0.051395,-0.116376,-0.007460,0.005159,0.261825,-0.016294,0.046236,-0.378201,0.381365,177.0116
1403636581.263556,-0.023425,0.053651,-0.116073,-0.006762,0.006085,0.285012,-0.016663,0.047566,-0.401085,0.404239,177.2075
1403636581.313555,-0.022607,0.054844,-0.113407,-0.004908,0.006595,0.302851,-0.017699,0.048249,-0.416258,0.419419,177.2886
1403636581.363556,-0.021417,0.056273,-0.107619,-0.002904,0.006564,0.312787,-0.018513,0.049709,-0.420406,0.423739,176.9729
1403636581.413556,-0.019976,0.058209,-0.098643,-0.000587,0.007043,0.313790,-0.019389,0.051166,-0.412433,0.416047,157.6476
1403636581.463556,-0.019164,0.065101,-0.089837,0.001643,0.007369,0.305687,-0.020807,0.057732,-0.395524,0.400256,157.3962
1403636581.513556,-0.022387,0.079452,-0.076836,0.003955,0.007537,0.289364,-0.026342,0.071915,-0.366200,0.374123,157.4797
1403636581.563556,-0.027666,0.100897,-0.063070,0.005259,0.007598,0.266157,-0.032925,0.093299,-0.329227,0.343772,157.6494
1403636581.613555,-0.029569,0.129475,-0.050427,0.006340,0.007524,0.238526,-0.035909,0.121951,-0.288953,0.315682,157.1030
1403636581.663556,-0.030287,0.163831,-0.039159,0.007411,0.007500,0.207708,-0.037698,0.156331,-0.246867,0.294625,156.2808
1403636581.713556,-0.032365,0.204271,-0.018343,0.008748,0.008091,0.175947,-0.041113,0.196180,-0.194290,0.279152,156.4380
1403636581.763556,-0.044976,0.236498,-0.005333,0.010388,0.008197,0.142873,-0.055364,0.228301,-0.148206,0.277762,156.5641
1403636581.813555,-0.058370,0.275012,0.016449,0.012746,0.007124,0.109705,-0.071116,0.267888,-0.093256,0.292435,156.7002
1403636581.863556,-0.062606,0.318701,0.031869,0.015280,0.005785,0.076278,-0.077886,0.312916,-0.044409,0.325508,156.4363
1403636581.913556,-0.063398,0.367212,0.042689,0.015284,0.009200,0.039080,-0.078682,0.358012,0.003609,0.366574,156.2049
1403636581.963556,-0.054764,0.414920,0.051060,0.017484,0.007813,0.006800,-0.072248,0.407107,0.044260,0.415830,156.1017
1403636582.013556,-0.047877,0.468143,0.059174,0.019035,0.006549,-0.023677,-0.066912,0.461594,0.082851,0.473720,155.7106
1403636582.063556,-0.044742,0.527304,0.068103,0.020642,0.004901,-0.050897,-0.065384,0.522403,0.119000,0.539760,155.0875
1403636582.113555,-0.039130,0.592198,0.081327,0.022052,0.003115,-0.073407,-0.061182,0.589083,0.154734,0.612131,154.8652
1403636582.163556,-0.027547,0.661402,0.099742,0.023249,0.000699,-0.089544,-0.050796,0.660703,0.189286,0.689158,154.7323
1403636582.213556,-0.019170,0.736531,0.127433,0.023852,-0.001320,-0.098105,-0.043022,0.737851,0.225538,0.772749,155.0959
1403636582.263556,-0.013372,0.817415,0.163558,0.023374,-0.002537,-0.098113,-0.036746,0.819952,0.261671,0.861477,155.0678
1403636582.313555,-0.010300,0.903740,0.207055,0.021731,-0.003386,-0.088769,-0.032031,0.907126,0.295824,0.954681,155.3015
1403636582.363556,-0.009685,0.994273,0.257190,0.019601,-0.004284,-0.070890,-0.029286,0.998557,0.328080,1.051480,155.4188
1403636582.413556,-0.011173,1.087449,0.313467,0.017367,-0.005113,-0.046828,-0.028540,1.092562,0.360295,1.150791,155.7233
1403636582.463556,-0.014046,1.182292,0.375086,0.014911,-0.005460,-0.018973,-0.028957,1.187752,0.394059,1.251749,156.1009
1403636582.513556,-0.018202,1.278336,0.441811,0.012208,-0.005033,0.011556,-0.030410,1.283369,0.430255,1.353913,156.4578
1403636582.563556,-0.023484,1.374868,0.512729,0.009546,-0.004428,0.043655,-0.033030,1.379296,0.469074,1.457251,156.8440
1403636582.613555,-0.029604,1.471836,0.587816,0.007247,-0.003254,0.076372,-0.036851,1.475090,0.511444,1.561673,157.1283
1403636582.663556,-0.036627,1.568681,0.666338,0.005298,-0.002036,0.109400,-0.041925,1.570717,0.556938,1.667060,157.4441
1403636582.713556,-0.043892,1.665436,0.748064,0.003554,-0.000560,0.141773,-0.047446,1.665996,0.606291,1.773522,157.6870
1403636582.763556,-0.057752,1.765940,0.797612,0.001225,0.001798,0.174382,-0.058977,1.764142,0.623230,1.871922,157.2857
1403636582.813555,-0.071267,1.865978,0.853283,-0.000962,0.004637,0.206167,-0.070305,1.861341,0.647116,1.971875,157.4275
1403636582.863556,-0.084778,1.965717,0.914237,0.004081,0.009884,0.243184,-0.088859,1.955833,0.671053,2.069660,157.5340
1403636582.913556,-0.098305,2.064016,0.979671,0.003728,0.012816,0.273832,-0.102033,2.051200,0.705839,2.171645,157.7515
1403636582.963556,-0.111691,2.160727,1.049121,0.003889,0.015303,0.301366,-0.115580,2.145424,0.747755,2.274937,158.1518
1403636583.013556,-0.124729,2.254840,1.122094,0.004693,0.016861,0.323057,-0.129422,2.237979,0.799037,2.379865,158.2912
1403636583.063556,-0.137078,2.346206,1.198238,0.005675,0.017974,0.337514,-0.142753,2.328232,0.860724,2.486341,158.6206
1403636583.113555,-0.142981,2.424050,1.285302,0.006453,0.018978,0.344215,-0.149434,2.405072,0.941087,2.586957,158.6902
1403636583.163556,-0.145940,2.461953,1.329784,0.007218,0.019900,0.342042,-0.153158,2.442053,0.987742,2.638696,158.8305
1403636583.213556,-0.156600,2.502915,1.358066,0.007617,0.020202,0.331681,-0.164217,2.482713,1.026385,2.691523,140.9049
1403636583.263556,-0.171463,2.548306,1.384878,0.007671,0.020007,0.314088,-0.179134,2.528299,1.070790,2.751541,140.9001
1403636583.313555,-0.186754,2.596997,1.405385,0.007257,0.020077,0.291494,-0.194011,2.576920,1.113891,2.814056,140.9015
1403636583.363556,-0.200283,2.647431,1.438345,0.007202,0.020674,0.264138,-0.207485,2.626757,1.174207,2.884730,141.1899
1403636583.413556,-0.217887,2.701000,1.479440,0.007389,0.021279,0.233645,-0.225276,2.679721,1.245795,2.963724,141.1866
1403636583.463556,-0.241914,2.758076,1.524301,0.008595,0.021536,0.200580,-0.250509,2.736540,1.323721,3.050187,141.1921
1403636583.513556,-0.267895,2.820359,1.573656,0.009583,0.021626,0.166658,-0.277478,2.798733,1.406998,3.144764,141.4671
1403636583.563556,-0.294922,2.887311,1.628315,0.011153,0.021776,0.132003,-0.306075,2.865535,1.496312,3.247140,141.5494
1403636583.613555,-0.325829,2.958495,1.684951,0.012141,0.021781,0.096843,-0.337970,2.936714,1.588108,3.355682,141.8447
1403636583.663556,-0.360653,3.020874,1.754737,0.013491,0.020497,0.062058,-0.374144,3.000377,1.692679,3.465171,141.7943
1403636583.713556,-0.396367,3.089266,1.828276,0.014294,0.023225,0.025963,-0.410661,3.066041,1.802313,3.580165,141.7970
1403636583.763556,-0.434620,3.165861,1.899385,0.015970,0.022183,-0.004987,-0.450590,3.143678,1.904372,3.703023,141.9567
1403636583.813555,-0.473143,3.244475,1.976937,0.017938,0.021112,-0.033340,-0.491081,3.223363,2.010277,3.830462,141.8531
1403636583.863556,-0.511355,3.330223,2.053355,0.019747,0.020029,-0.058739,-0.531102,3.310194,2.112094,3.962372,142.0493
1403636583.913556,-0.547703,3.419147,2.135093,0.021875,0.019118,-0.080563,-0.569578,3.400029,2.215656,4.098017,142.1745
1403636583.963556,-0.584636,3.509582,2.222373,0.023929,0.017634,-0.097687,-0.608565,3.491948,2.320060,4.236358,142.1071
1403636584.013556,-0.633223,3.605682,2.295074,0.025619,0.015463,-0.109198,-0.658842,3.590219,2.404272,4.370843,142.1418
1403636584.063556,-0.702039,3.686129,2.350653,0.026638,0.013161,-0.114276,-0.728677,3.672968,2.464929,4.483028,142.0312
1403636584.113555,-0.768998,3.769410,2.415599,0.026508,0.011758,-0.112109,-0.795506,3.757652,2.527708,4.598053,141.8007
1403636584.163556,-0.820068,3.864205,2.482086,0.025255,0.011181,-0.102542,-0.845323,3.853024,2.584628,4.716001,141.8400
1403636584.213556,-0.870867,3.960095,2.556225,0.023281,0.011323,-0.085912,-0.894148,3.948772,2.642137,4.834583,141.7798
1403636584.263556,-0.921197,4.056746,2.637101,0.020960,0.011627,-0.063840,-0.942157,4.045119,2.700941,4.954365,141.7293
1403636584.313555,-0.970719,4.153090,2.723710,0.018168,0.012177,-0.037988,-0.988887,4.140913,2.761698,5.074646,141.7305
1403636584.363556,-1.020097,4.249404,2.815995,0.014755,0.013611,-0.008622,-1.034852,4.235793,2.824617,5.195317,141.7027
1403636584.413556,-1.074593,4.352251,2.883523,0.010912,0.016099,0.023897,-1.085505,4.336152,2.859626,5.306411,141.9406
1403636584.463556,-1.127848,4.453688,2.958073,0.006658,0.018796,0.058271,-1.134506,4.434892,2.899802,5.418876,142.1527
1403636584.513556,-1.179623,4.554098,3.038548,0.002405,0.021023,0.093971,-1.182028,4.533075,2.944577,5.533217,142.1486
1403636584.563556,-1.204390,4.659753,3.095727,-0.002028,0.023064,0.130388,-1.202362,4.636689,2.965339,5.633631,142.6687
1403636584.613555,-1.216954,4.767378,3.138322,-0.006315,0.025004,0.167198,-1.210639,4.742374,2.971124,5.725673,143.1363
1403636584.663556,-1.257490,4.845323,3.173623,-0.009895,0.026479,0.202818,-1.247595,4.818844,2.970805,5.796847,143.1146
1403636584.713556,-1.287876,4.910942,3.230090,-0.012444,0.027296,0.236871,-1.275432,4.883646,2.993219,5.868227,130.3936
1403636584.763556,-1.321263,4.972254,3.296722,-0.007953,0.028530,0.274849,-1.313310,4.943724,3.021873,5.941120,130.4076
1403636584.813555,-1.336002,5.030805,3.369378,-0.008292,0.028536,0.304202,-1.327710,5.002269,3.065176,6.015049,130.3343
1403636584.863556,-1.338350,5.062118,3.410231,-0.007972,0.027875,0.329026,-1.330378,5.034243,3.081205,6.050399,130.2245
1403636584.913556,-1.352420,5.093915,3.457491,-0.007255,0.026759,0.348441,-1.345165,5.067156,3.109050,6.095222,48.9492
1403636584.963556,-1.366008,5.106018,3.513987,-0.006778,0.025692,0.360389,-1.359230,5.080326,3.153598,6.132080,131.4720
1403636585.013556,-1.376708,5.115601,3.581256,-0.006809,0.025487,0.364883,-1.369899,5.090114,3.216373,6.175025,131.4793
1403636585.063556,-1.385769,5.101637,3.637431,-0.006931,0.025373,0.361650,-1.378838,5.076264,3.275781,6.196805,131.4453
1403636585.113555,-1.378568,5.101893,3.681941,-0.007371,0.025370,0.351847,-1.371197,5.076523,3.330094,6.224210,131.4737
1403636585.163556,-1.364579,5.101778,3.736806,-0.007561,0.025731,0.335825,-1.357018,5.076047,3.400981,6.258947,143.7324
1403636585.213556,-1.345912,5.105068,3.801862,-0.007775,0.026698,0.315251,-1.338137,5.078370,3.486611,6.303722,143.8455
1403636585.263556,-1.326269,5.109348,3.878537,-0.007805,0.028401,0.291397,-1.318464,5.080947,3.587140,6.357825,143.9449
1403636585.313555,-1.297487,5.116964,3.960877,-0.007685,0.030217,0.265705,-1.289802,5.086747,3.695172,6.418167,144.2982
1403636585.363556,-1.270569,5.126238,4.054037,-0.007178,0.031890,0.238766,-1.263391,5.094348,3.815271,6.488823,106.5861
